Tripoli tab-delimited output of processed data for:
A519__U.trip
produced on: 2021-12-27

Each column header shows ratio name, Tripolized mean, Tripolized stdErr, Fractionation Corrected flag.
Data is presented by blocks that are separated by blank lines. 
Any discarded value is shown as a negative number. 
Any missing value is represented by a blank entry. 

Time            	i208_S1         	i207_S1         	i204_S1         	R64S1           	R74S1           	R84S1           	R86S1           	R76S1           	R87S1           	R64S2           	R74S2           	R84S2           	R86S2           	R76S2           	R87S2           	R64S3           	R74S3           	R84S3           	R86S3           	R76S3           	R87S3           	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
8.820276975E+003	1.468629802E+001	6.285857209E+000	4.104250839E-001	1.577039338E+001	1.453230933E+001	3.440409095E+001	2.239283483E+000	1.077086007E+000	2.378991148E+000	1.599288607E+001	1.510578674E+001	3.337395988E+001	2.151863159E+000	1.078622763E+000	2.312210472E+000	1.579606235E+001	1.467605948E+001	3.360889915E+001	3.126600742E+000	1.105028578E+000	2.383637877E+000	
3.213114636E+000	6.112320935E+000	6.076557210E+000	6.051655258E+000	2.369531368E+000	2.374037294E+000	2.334031144E+000	2.842216872E+000	4.020970890E+000	2.150408063E+000	1.773256520E+000	2.410450776E+000	2.196658433E+000	2.742089812E+000	1.266598167E+001	1.716920752E+000	1.682666064E+000	2.016308589E+000	1.810594496E+000	2.068543580E+001	7.068415628E+000	3.066268489E+000	
not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	

5.687450000E+002	1.905407084E+001	8.052850952E+000	5.218472703E-001	1.689120536E+001	1.543143255E+001	3.651273452E+001	2.161641739E+000	9.135779372E-001	2.366127345E+000	1.689483003E+001	1.543456544E+001	3.651994276E+001	2.161604627E+000	9.135673704E-001	2.366114089E+000	1.689573278E+001	1.543662531E+001	3.652167911E+001	2.161591900E+000	9.136404744E-001	2.365910837E+000	

6.710910000E+002	2.104212245E+001	8.893287719E+000	5.760816716E-001	1.689586547E+001	1.543754672E+001	3.652628349E+001	2.161847439E+000	9.136878338E-001	2.366067883E+000	1.689684739E+001	1.543605104E+001	3.652644549E+001	2.161731396E+000	9.135462185E-001	2.366307640E+000	1.689886112E+001	1.543871835E+001	3.653112147E+001	2.161750499E+000	9.135951965E-001	2.366201692E+000	
7.149130000E+002	2.186571089E+001	9.241222692E+000	5.986377749E-001	1.689576481E+001	1.543708580E+001	3.652577870E+001	2.161830442E+000	9.136659971E-001	2.366105830E+000	1.689737411E+001	1.543822622E+001	3.653057503E+001	2.161908400E+000	9.136464707E-001	2.366241724E+000	1.689779090E+001	1.543813119E+001	3.652906326E+001	2.161765611E+000	9.136183115E-001	2.366158366E+000	
7.587130000E+002	2.267529316E+001	9.583287076E+000	6.207383786E-001	1.689764640E+001	1.543852838E+001	3.652954923E+001	2.161812857E+000	9.136496301E-001	2.366128968E+000	1.689796024E+001	1.543823001E+001	3.653304926E+001	2.161979833E+000	9.136150039E-001	2.366401409E+000	1.689831073E+001	1.543874108E+001	3.653181227E+001	2.161861789E+000	9.136262980E-001	2.366242952E+000	
8.025270000E+002	2.346583082E+001	9.917072981E+000	6.422420657E-001	1.690047684E+001	1.544133203E+001	3.653736195E+001	2.161913081E+000	9.136625065E-001	2.366205317E+000	1.690015887E+001	1.544006693E+001	3.653825265E+001	2.162006460E+000	9.136048399E-001	2.366456881E+000	1.689916706E+001	1.543984342E+001	3.653512964E+001	2.161948545E+000	9.136452329E-001	2.366288870E+000	
8.463140000E+002	2.424489011E+001	1.024625249E+001	6.635112549E-001	1.690004070E+001	1.544246976E+001	3.654028463E+001	2.162141812E+000	9.137534068E-001	2.366220247E+000	1.689736353E+001	1.543952098E+001	3.653592202E+001	2.162226193E+000	9.137236677E-001	2.366389609E+000	1.689957438E+001	1.544033361E+001	3.653632746E+001	2.161967317E+000	9.136522182E-001	2.366291324E+000	
8.901070000E+002	2.500689448E+001	1.056823692E+001	6.845249530E-001	1.689607025E+001	1.543878988E+001	3.653175005E+001	2.162144777E+000	9.137503368E-001	2.366231442E+000	1.690172036E+001	1.544219960E+001	3.654434288E+001	2.162167051E+000	9.136466151E-001	2.366524448E+000	1.690045632E+001	1.544144395E+001	3.654166614E+001	2.162170385E+000	9.136702382E-001	2.366466909E+000	
9.339000000E+002	2.576284049E+001	1.088694595E+001	7.050845699E-001	1.689916946E+001	1.544062431E+001	3.653865308E+001	2.162156736E+000	9.136913122E-001	2.366397390E+000	1.689888212E+001	1.544046357E+001	3.654030374E+001	2.162291179E+000	9.136973361E-001	2.366528930E+000	1.690175153E+001	1.544305979E+001	3.654501825E+001	2.162203023E+000	9.136958241E-001	2.366436364E+000	
9.777040000E+002	2.651083221E+001	1.120319687E+001	7.253954466E-001	1.690193443E+001	1.544426136E+001	3.654673093E+001	2.162280955E+000	9.137570271E-001	2.366363148E+000	1.690221563E+001	1.544354825E+001	3.654784492E+001	2.162310890E+000	9.136996349E-001	2.366544549E+000	1.689977301E+001	1.544196682E+001	3.654240613E+001	2.162301595E+000	9.137381201E-001	2.366434701E+000	
