Tripoli tab-delimited output of processed data for:
A521__U.trip
produced on: 2021-12-28

Each column header shows ratio name, Tripolized mean, Tripolized stdErr, Fractionation Corrected flag.
Data is presented by blocks that are separated by blank lines. 
Any discarded value is shown as a negative number. 
Any missing value is represented by a blank entry. 

Time            	i208_S1         	i207_S1         	i204_S1         	R64S1           	R74S1           	R84S1           	R86S1           	R76S1           	R87S1           	R64S2           	R74S2           	R84S2           	R86S2           	R76S2           	R87S2           	R64S3           	R74S3           	R84S3           	R86S3           	R76S3           	R87S3           	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
7.186738885E+003	1.162953546E+001	1.318322721E+001	2.438271298E+000	2.220623177E+000	5.424937375E+000	4.791342483E+000	2.157634616E+000	2.442985664E+000	8.831939190E-001	2.220326038E+000	5.425787132E+000	4.793091059E+000	2.158751100E+000	2.443715583E+000	8.833862283E-001	2.220399319E+000	5.424942928E+000	4.791764554E+000	2.158068478E+000	2.443250893E+000	8.832743017E-001	
3.551818455E+000	6.960220843E+000	6.960674558E+000	6.961506906E+000	5.890438947E-002	6.345435916E-002	7.410018179E-002	3.407491562E-002	2.643811171E-002	1.706833667E-002	7.097090374E-002	7.569456854E-002	8.113319629E-002	4.402217527E-002	3.654971238E-002	1.902797350E-002	5.813462705E-002	6.022948488E-002	6.950046203E-002	3.853156153E-002	2.956486477E-002	1.793820614E-002	
not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	

1.706160000E+002	3.116869209E+000	3.536681283E+000	6.562045195E-001	2.211352939E+000	5.389602141E+000	4.749844166E+000	2.147935810E+000	2.437241947E+000	8.812977363E-001	2.211265729E+000	5.389315665E+000	4.749098938E+000	2.147683508E+000	2.437208516E+000	8.812063039E-001	2.211356876E+000	5.389597943E+000	4.748668592E+000	2.147400378E+000	2.437235708E+000	8.810803037E-001	
2.144290000E+002	3.212101403E+000	3.645156160E+000	6.763333171E-001	2.211192781E+000	5.389585382E+000	4.749287551E+000	2.147839660E+000	2.437410898E+000	8.811972005E-001	2.211179248E+000	5.388728221E+000	4.749369645E+000	2.147889932E+000	2.437038166E+000	8.813526030E-001	2.211202485E+000	5.388926488E+000	4.748121991E+000	2.147303119E+000	2.437102222E+000	8.810886549E-001	
2.582300000E+002	3.303618386E+000	3.749090785E+000	6.956631701E-001	2.211101910E+000	5.389232815E+000	4.748876364E+000	2.147741967E+000	2.437351617E+000	8.811785512E-001	2.211588682E+000	5.389527443E+000	4.749454399E+000	2.147530613E+000	2.436948374E+000	8.812376314E-001	2.211269227E+000	5.389394997E+000	4.749302434E+000	2.147772138E+000	2.437240537E+000	8.812310912E-001	
3.020430000E+002	3.403511812E+000	3.862824741E+000	7.166749194E-001	2.211447292E+000	5.389925943E+000	4.749031563E+000	2.147476714E+000	2.437284381E+000	8.810940285E-001	2.211276018E+000	5.389258721E+000	4.749323204E+000	2.147774935E+000	2.437171424E+000	8.812572285E-001	2.211394307E+000	5.389354940E+000	4.749183068E+000	2.147596678E+000	2.437084568E+000	8.812154925E-001	
