Timestamp, 2021-12-27 1:25:39 PM
Collector, High4
Mass ID, 208Pb
Initial Mass, 204.0385
Peak Centre Mass,204.0426
Method, PeakScanning
PDT, 0.0010
Baseline, -0.000233
DetThreshold, 0.000481
DeltaMass, 0.612116
IntegPeriod, ms100

Mass, Intensity
203.42641, -0.00107425
203.43988, 0.00063331
203.45335, 0.00019263
203.46681, -0.00014234
203.48028, -0.00031096
203.49374, 0.00050506
203.50721, -0.00035277
203.52068, 0.00006992
203.53414, -0.00020390
203.54761, 0.00025512
203.56108, 0.00030143
203.57454, 0.00015741
203.58801, 0.00031025
203.60148, 0.00072226
203.61494, 0.00060391
203.62841, -0.00023274
203.64188, -0.00022352
203.65534, 0.00040359
203.66881, 0.00074740
203.68228, -0.00006386
203.69574, 0.00057066
203.70921, 0.00019106
203.72268, -0.00056642
203.73614, 0.00066965
203.74961, 0.00015367
203.76308, 0.00034624
203.77654, 0.00105983
203.79001, 0.00643746
203.80348, 0.03711133
203.81694, 0.17866498
203.83041, 0.58090833
203.84387, 1.95239868
203.85734, 7.63619901
203.87081, 14.93622552
203.88427, 23.34712933
203.89774, 31.28752488
203.91121, 38.51903117
203.92467, 43.26860154
203.93814, 45.52350232
203.95161, 45.96348011
203.96507, 46.05109423
203.97854, 46.07896862
203.99201, 46.07479553
204.00547, 46.07624821
204.01894, 46.08011544
204.03241, 46.06688720
204.04587, 46.07351986
204.05934, 46.07422629
204.07281, 46.06348924
204.08627, 46.05826660
204.09974, 46.05381295
204.11321, 46.04298973
204.12667, 45.94397237
204.14014, 45.65100955
204.15361, 44.78641699
204.16707, 41.64635496
204.18054, 35.88980831
204.19401, 27.19035250
204.20747, 18.58999095
204.22094, 11.17610032
204.23440, 4.73569652
204.24787, 1.25856273
204.26134, 0.21172070
204.27480, 0.01489585
204.28827, 0.00063054
204.30174, 0.00032636
204.31520, -0.00018488
204.32867, -0.00008304
204.34214, 0.00066111
204.35560, 0.00027378
204.36907, 0.00057025
204.38254, 0.00011152
204.39600, 0.00056403
204.40947, 0.00050049
204.42294, -0.00009991
204.43640, 0.00019901
204.44987, 0.00007866
204.46334, 0.00092122
204.47680, 0.00036488
204.49027, 0.00034263
204.50374, 0.00061428
204.51720, 0.00032259
204.53067, -0.00054159
204.54414, 0.00005667
204.55760, -0.00008906
204.57107, -0.00025603
204.58453, 0.00004506
204.59800, 0.00022813
204.61147, 0.00031473
204.62493, 0.00021723
204.63840, -0.00027890
204.65064, -0.00013234
