Tripoli tab-delimited output of processed data for:
A522__U.trip
produced on: 2021-12-28

Each column header shows ratio name, Tripolized mean, Tripolized stdErr, Fractionation Corrected flag.
Data is presented by blocks that are separated by blank lines. 
Any discarded value is shown as a negative number. 
Any missing value is represented by a blank entry. 

Time            	i208_S1         	i207_S1         	i204_S1         	R64S1           	R74S1           	R84S1           	R86S1           	R76S1           	R87S1           	R64S2           	R74S2           	R84S2           	R86S2           	R76S2           	R87S2           	R64S3           	R74S3           	R84S3           	R86S3           	R76S3           	R87S3           	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
9.611398260E+003	8.086612433E+000	9.931470770E+000	1.911748431E+000	1.974753908E+000	5.193218345E+000	4.236561017E+000	2.181322666E+000	2.632166061E+000	8.791247686E-001	1.986995074E+000	5.275783947E+000	4.294952910E+000	2.163758410E+000	2.658792682E+000	8.137506946E-001	1.990398066E+000	5.290929013E+000	4.297410676E+000	2.161377179E+000	2.660179673E+000	8.128500361E-001	
3.230683842E+000	7.836988566E+000	7.845964426E+000	7.834132914E+000	6.744317582E-001	6.276924979E-001	5.569688724E-001	1.224102111E+000	4.122852161E-001	6.264291849E+000	3.037256986E-001	2.256378993E-001	2.905549353E-001	2.524758152E-001	2.218312794E-001	8.740973967E-002	3.476924458E-001	3.567937331E-001	2.435878742E-001	1.627704450E-001	2.189231249E-001	1.078199464E-001	
not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	

1.833410000E+002	1.985388615E+000	2.448292879E+000	4.680126405E-001	1.976035886E+000	5.231253745E+000	4.242168785E+000	2.146807563E+000	2.647347542E+000	8.109277415E-001	1.976277442E+000	5.230701534E+000	4.242692358E+000	2.146810093E+000	2.646744543E+000	8.111134481E-001	1.976269201E+000	5.231061829E+000	4.242185391E+000	2.146562517E+000	2.646937890E+000	8.109606672E-001	
2.271520000E+002	1.943403528E+000	2.396467299E+000	4.581440420E-001	1.976073984E+000	5.230816248E+000	4.241905055E+000	2.146632712E+000	2.647075105E+000	8.109451478E-001	1.976124631E+000	5.230023690E+000	4.241805558E+000	2.146527345E+000	2.646606194E+000	8.110490143E-001	1.976092654E+000	5.230739493E+000	4.241777824E+000	2.146548046E+000	2.647011254E+000	8.109327237E-001	
2.709990000E+002	1.900841207E+000	2.344076068E+000	4.480989692E-001	1.976072681E+000	5.231157020E+000	4.242012006E+000	2.146688250E+000	2.647249299E+000	8.109127657E-001	1.976272325E+000	5.230764859E+000	4.242751325E+000	2.146845489E+000	2.646783438E+000	8.111149019E-001	1.976409776E+000	5.231539423E+000	4.242562025E+000	2.146600405E+000	2.646991270E+000	8.109586265E-001	
3.148700000E+002	1.858094110E+000	2.291439444E+000	4.380210239E-001	1.976139517E+000	5.231345801E+000	4.242020379E+000	2.146619883E+000	2.647255296E+000	8.108851030E-001	1.976318274E+000	5.231161290E+000	4.243078223E+000	2.146960983E+000	2.646922492E+000	8.111159240E-001	1.976728726E+000	5.231904942E+000	4.242982413E+000	2.146466714E+000	2.646749083E+000	8.109823209E-001	
