#HEADER
Analysis
Version,1.4.0,1.04
Filename,A522_Pb-2534.TXT
MethodName,PbFaraday_Pbc3Line.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,PbFaraday_Pbc3Line
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A522_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 28, 2021 10:07:55 AM.018

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL3, 1, 3, 1, BL3, 205.5000, 258.6540851, 0.000000000000e+000, -1.254060965102e-005, 3.557388129319e-006, -2.833785520897e-006, -7.159787034994e-006, -6.757431858476e-006, 1.097771165470e-005, 8.130425559348e-006, 3.144760330599e-006, 1.062992759883e-005, -1.254060965102e-005, 3.557388129319e-006, -2.833785520897e-006, -7.159787034994e-006, -6.757431858476e-006, 1.097771165470e-005, 8.130425559348e-006, 3.144760330599e-006, 1.062992759883e-005
BL4, 1, 3, 1, BL4, 206.5000, 264.6667092, 0.000000000000e+000, 7.820736502630e-006, 1.463506806929e-006, 6.616184428276e-006, 9.710025291572e-006, 8.410037593880e-006, 1.859107638884e-005, 7.818881916553e-006, -4.269895267244e-006, -6.218837748039e-006, 7.820736502630e-006, 1.463506806929e-006, 6.616184428276e-006, 9.710025291572e-006, 8.410037593880e-006, 1.859107638884e-005, 7.818881916553e-006, -4.269895267244e-006, -6.218837748039e-006
BL1, 1, 4, 1, BL1, 203.5000, 290.4946700, 0.000000000000e+000, 6.166860705131e-007, 5.384538643832e-007, 3.789929128399e-006, 2.016778103909e-006, 4.952506616494e-006, -1.236999754432e-006, 3.115840662186e-006, 2.378736210150e-005, 6.104451061726e-006, 6.166860705131e-007, 5.384538643832e-007, 3.789929128399e-006, 2.016778103909e-006, 4.952506616494e-006, -1.236999754432e-006, 3.115840662186e-006, 2.378736210150e-005, 6.104451061726e-006
BL2, 1, 4, 1, BL2, 204.5000, 296.5086225, 0.000000000000e+000, 5.366712795121e-006, 8.983348753292e-006, -6.142613398656e-007, 6.735817121211e-006, 1.346282883409e-005, 1.483812175774e-005, 1.317433803234e-005, 1.226977941558e-005, 1.234961213080e-005, 5.366712795121e-006, 8.983348753292e-006, -6.142613398656e-007, 6.735817121211e-006, 1.346282883409e-005, 1.483812175774e-005, 1.317433803234e-005, 1.226977941558e-005, 1.234961213080e-005
BL3, 1, 4, 1, BL3, 205.5000, 302.5216793, 0.000000000000e+000, -9.809669328611e-006, -1.057033682928e-005, 3.650678247875e-006, -6.219666121646e-008, -3.341292764235e-006, 1.432034731924e-005, 1.763926615310e-005, -7.286462026806e-006, 1.033173499448e-005, -9.809669328611e-006, -1.057033682928e-005, 3.650678247875e-006, -6.219666121646e-008, -3.341292764235e-006, 1.432034731924e-005, 1.763926615310e-005, -7.286462026806e-006, 1.033173499448e-005
BL4, 1, 4, 1, BL4, 206.5000, 308.5361101, 0.000000000000e+000, 2.688786924745e-006, 8.577593671628e-006, 9.605415088231e-006, 3.011598993722e-006, 6.342622985879e-006, 1.391896484103e-005, 1.619645909772e-005, 2.504849310972e-006, -1.663535194007e-005, 2.688786924745e-006, 8.577593671628e-006, 9.605415088231e-006, 3.011598993722e-006, 6.342622985879e-006, 1.391896484103e-005, 1.619645909772e-005, 2.504849310972e-006, -1.663535194007e-005
BL1, 1, 5, 1, BL1, 203.5000, 334.3596341, 0.000000000000e+000, 3.112862069174e-007, -2.717788834152e-006, -4.335565072699e-006, 1.792789698914e-007, -4.370621484150e-006, 2.651121112336e-006, 1.229245519316e-005, 9.088376383717e-006, 1.020577152659e-005, 3.112862069174e-007, -2.717788834152e-006, -4.335565072699e-006, 1.792789698914e-007, -4.370621484150e-006, 2.651121112336e-006, 1.229245519316e-005, 9.088376383717e-006, 1.020577152659e-005
BL2, 1, 5, 1, BL2, 204.5000, 340.3725388, 0.000000000000e+000, 3.741691057717e-006, -1.209694870118e-006, 1.932010018409e-006, -1.166889427340e-006, -1.004604034517e-006, -1.241411631265e-007, 3.229541723375e-006, 1.412034398412e-005, 1.056801060172e-005, 3.741691057717e-006, -1.209694870118e-006, 1.932010018409e-006, -1.166889427340e-006, -1.004604034517e-006, -1.241411631265e-007, 3.229541723375e-006, 1.412034398412e-005, 1.056801060172e-005
BL3, 1, 5, 1, BL3, 205.5000, 346.3863907, 0.000000000000e+000, -7.071196405727e-007, -4.327480626927e-006, -2.502905157927e-006, -9.412980958083e-007, 9.714263022576e-006, 1.166254339675e-005, 1.623674472987e-005, 8.594351180334e-006, -3.027594271161e-006, -7.071196405727e-007, -4.327480626927e-006, -2.502905157927e-006, -9.412980958083e-007, 9.714263022576e-006, 1.166254339675e-005, 1.623674472987e-005, 8.594351180334e-006, -3.027594271161e-006
BL4, 1, 5, 1, BL4, 206.5000, 352.3998337, 0.000000000000e+000, 3.121252531675e-006, -5.376472619320e-006, 3.961466611843e-006, 9.547263477425e-006, 1.510465860394e-005, 6.075302023015e-006, 2.389972681996e-006, 8.603344075608e-008, 5.915833587089e-006, 3.121252531675e-006, -5.376472619320e-006, 3.961466611843e-006, 9.547263477425e-006, 1.510465860394e-005, 6.075302023015e-006, 2.389972681996e-006, 8.603344075608e-008, 5.915833587089e-006
