#HEADER
Analysis
Version,1.4.0,1.04
Filename,A518_Pb-2530.TXT
MethodName,Pb_Faraday_MD_981.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,Pb_Faraday_MD_981
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A518_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 25, 2021 9:45:01 PM.979

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL1, 1, 6, 1, BL1, 203.5087, 462.2994477, 0.000000000000e+000, 4.239133233562e-007, 1.084086206441e-006, 9.029320594726e-007, 7.723157832753e-006, 5.715582270106e-006, 1.357437550434e-005, 3.087245991035e-005, 4.833782731078e-005, 7.351643029453e-005, 4.239133233562e-007, 1.084086206441e-006, 9.029320594726e-007, 7.723157832753e-006, 5.715582270106e-006, 1.357437550434e-005, 3.087245991035e-005, 4.833782731078e-005, 7.351643029453e-005
BL2, 1, 6, 1, BL2, 204.5087, 474.3207792, 0.000000000000e+000, -3.179422527341e-006, 1.145679246793e-008, 1.888721492720e-006, 3.095109949546e-006, 8.172787639324e-006, 3.291181642425e-005, 5.546008391434e-005, 6.717985841432e-005, 4.333028860017e-005, -3.179422527341e-006, 1.145679246793e-008, 1.888721492720e-006, 3.095109949546e-006, 8.172787639324e-006, 3.291181642425e-005, 5.546008391434e-005, 6.717985841432e-005, 4.333028860017e-005
BL1, 1, 7, 1, BL1, 203.5087, 521.4875567, 0.000000000000e+000, 1.746520346911e-007, 1.428826602758e-006, 2.954487305342e-006, 5.037477224833e-006, 6.068170095033e-006, 1.427090065334e-005, 2.926999523234e-005, 4.849976243770e-005, 7.105627050653e-005, 1.746520346911e-007, 1.428826602758e-006, 2.954487305342e-006, 5.037477224833e-006, 6.068170095033e-006, 1.427090065334e-005, 2.926999523234e-005, 4.849976243770e-005, 7.105627050653e-005
BL2, 1, 7, 1, BL2, 204.5087, 533.5105041, 0.000000000000e+000, -6.026785355232e-006, 1.445698618413e-006, -1.022016074189e-006, 2.194440283583e-006, 7.302077373424e-006, 3.576806091750e-005, 5.130186697283e-005, 5.893709843990e-005, 4.199021706971e-005, -6.026785355232e-006, 1.445698618413e-006, -1.022016074189e-006, 2.194440283583e-006, 7.302077373424e-006, 3.576806091750e-005, 5.130186697283e-005, 5.893709843990e-005, 4.199021706971e-005
BL1, 1, 8, 1, BL1, 203.5087, 580.6432557, 0.000000000000e+000, 6.747354073983e-007, 4.074033155142e-006, -5.762055872013e-007, 7.740018611847e-006, 5.957757821450e-006, 1.541709141288e-005, 3.107439506596e-005, 4.431207528205e-005, 6.743508931266e-005, 6.747354073983e-007, 4.074033155142e-006, -5.762055872013e-007, 7.740018611847e-006, 5.957757821450e-006, 1.541709141288e-005, 3.107439506596e-005, 4.431207528205e-005, 6.743508931266e-005
BL2, 1, 8, 1, BL2, 204.5087, 592.6651776, 0.000000000000e+000, 9.183015241187e-006, 2.550917648747e-006, 2.055460256133e-006, 1.277793240556e-005, 8.547200434533e-006, 3.430019702934e-005, 5.023513853631e-005, 7.607638495494e-005, 4.397502542348e-005, 9.183015241187e-006, 2.550917648747e-006, 2.055460256133e-006, 1.277793240556e-005, 8.547200434533e-006, 3.430019702934e-005, 5.023513853631e-005, 7.607638495494e-005, 4.397502542348e-005
BL1, 1, 9, 1, BL1, 203.5087, 639.7753652, 0.000000000000e+000, -6.604525704420e-006, -4.315594556208e-006, 2.256908012526e-006, -7.901320506783e-008, 4.868686435450e-006, 9.046597851672e-006, 2.836317824177e-005, 4.602421905521e-005, 6.080276614507e-005, -6.604525704420e-006, -4.315594556208e-006, 2.256908012526e-006, -7.901320506783e-008, 4.868686435450e-006, 9.046597851672e-006, 2.836317824177e-005, 4.602421905521e-005, 6.080276614507e-005
BL2, 1, 9, 1, BL2, 204.5087, 651.7963477, 0.000000000000e+000, 4.166692862851e-006, -1.326759208628e-006, 1.249600412572e-006, 3.815450031219e-006, 3.606347428983e-006, 2.619984709353e-005, 4.748779285921e-005, 6.734561513461e-005, 4.068204914042e-005, 4.166692862851e-006, -1.326759208628e-006, 1.249600412572e-006, 3.815450031219e-006, 3.606347428983e-006, 2.619984709353e-005, 4.748779285921e-005, 6.734561513461e-005, 4.068204914042e-005
BL1, 1, 10, 1, BL1, 203.5087, 698.9099644, 0.000000000000e+000, 2.581352557693e-006, 5.505648219154e-006, 3.125983742957e-006, 3.609343709006e-006, 6.065114111386e-006, 2.178405090027e-005, 3.696175450002e-005, 5.133550842833e-005, 7.414713237999e-005, 2.581352557693e-006, 5.505648219154e-006, 3.125983742957e-006, 3.609343709006e-006, 6.065114111386e-006, 2.178405090027e-005, 3.696175450002e-005, 5.133550842833e-005, 7.414713237999e-005
BL2, 1, 10, 1, BL2, 204.5087, 710.9313948, 0.000000000000e+000, 1.142345069533e-006, 1.015348661443e-005, 1.018291551263e-005, 9.377009595536e-006, 1.212970649499e-005, 3.562070339756e-005, 5.705327526566e-005, 7.280905077780e-005, 4.946129802833e-005, 1.142345069533e-006, 1.015348661443e-005, 1.018291551263e-005, 9.377009595536e-006, 1.212970649499e-005, 3.562070339756e-005, 5.705327526566e-005, 7.280905077780e-005, 4.946129802833e-005
