Tripoli tab-delimited output of processed data for:
A520__U.trip
produced on: 2021-12-28

Each column header shows ratio name, Tripolized mean, Tripolized stdErr, Fractionation Corrected flag.
Data is presented by blocks that are separated by blank lines. 
Any discarded value is shown as a negative number. 
Any missing value is represented by a blank entry. 

Time            	i208_S1         	i207_S1         	i204_S1         	R64S1           	R74S1           	R84S1           	R86S1           	R76S1           	R87S1           	R64S2           	R74S2           	R84S2           	R86S2           	R76S2           	R87S2           	R64S3           	R74S3           	R84S3           	R86S3           	R76S3           	R87S3           	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	
1.107342452E+004	1.151194005E+001	4.862282961E+000	3.144106999E-001	1.692580585E+001	1.547844876E+001	3.665758165E+001	2.165779869E+000	9.144880105E-001	2.368297549E+000	1.692667350E+001	1.547730256E+001	3.665943798E+001	2.165778513E+000	9.143734131E-001	2.368592868E+000	1.692751555E+001	1.547858373E+001	3.665901008E+001	2.165645495E+000	9.144036175E-001	2.368369176E+000	
2.875353937E+000	5.973279840E+000	5.973705259E+000	5.974832125E+000	4.840482806E-003	5.813984370E-003	7.054375174E-003	3.136739020E-003	1.763766364E-003	1.769966245E-003	4.772660980E-003	5.755067138E-003	7.010924045E-003	3.113131063E-003	1.667955409E-003	1.740825669E-003	4.356042810E-003	5.427080150E-003	6.755307695E-003	3.141721056E-003	1.763263269E-003	1.796074775E-003	
not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	not frac corr   	

1.921320000E+002	2.109572898E+001	8.916880260E+000	5.778309152E-001	1.689067296E+001	1.543164276E+001	3.650848098E+001	2.161458046E+000	9.136191787E-001	2.365819475E+000	1.689207180E+001	1.543068975E+001	3.650979464E+001	2.161356823E+000	9.134871043E-001	2.366050723E+000	1.689194158E+001	1.543082841E+001	3.650760540E+001	2.161243883E+000	9.135023551E-001	2.365887587E+000	
2.359380000E+002	2.114919660E+001	8.939285049E+000	5.792577214E-001	1.689200082E+001	1.543231056E+001	3.651085832E+001	2.161428874E+000	9.135868935E-001	2.365871150E+000	1.689309412E+001	1.543266200E+001	3.651427857E+001	2.161491454E+000	9.135485717E-001	2.366038896E+000	1.689248205E+001	1.543198258E+001	3.651036518E+001	2.161338107E+000	9.135414521E-001	2.365889476E+000	
2.797530000E+002	2.118285462E+001	8.953450566E+000	5.801132160E-001	1.689332110E+001	1.543397102E+001	3.651503540E+001	2.161507213E+000	9.136137848E-001	2.365887259E+000	1.689573322E+001	1.543393589E+001	3.652128360E+001	2.161568434E+000	9.134812725E-001	2.366297481E+000	1.689294181E+001	1.543196786E+001	3.651218413E+001	2.161386959E+000	9.135157173E-001	2.366009602E+000	
3.235600000E+002	2.116698211E+001	8.946825019E+000	5.796910843E-001	1.689231398E+001	1.543378061E+001	3.651424471E+001	2.161589274E+000	9.136569820E-001	2.365865217E+000	1.689366542E+001	1.543278481E+001	3.651721205E+001	2.161592001E+000	9.135249469E-001	2.366210149E+000	1.689464650E+001	1.543391469E+001	3.651540031E+001	2.161359240E+000	9.135387761E-001	2.365919539E+000	
