Timestamp, 2021-12-26 12:18:41 AM
Collector, High3
Mass ID, Pb208
Initial Mass, 205.0509
Peak Centre Mass,205.0500
Method, PeakScanning
PDT, 0.0010
Baseline, -0.000334
DetThreshold, 0.000123
DeltaMass, 0.615153
IntegPeriod, ms100

Mass, Intensity
204.43573, 0.00012920
204.44926, -0.00003646
204.46279, -0.00020083
204.47633, 0.00004738
204.48986, 0.00036289
204.50339, 0.00081423
204.51693, 0.00053340
204.53046, 0.00009255
204.54399, 0.00028747
204.55753, 0.00089029
204.57106, 0.00050250
204.58459, 0.00008863
204.59813, -0.00023550
204.61166, -0.00077359
204.62519, -0.00054216
204.63873, -0.00009400
204.65226, 0.00006046
204.66579, 0.00044173
204.67933, 0.00025872
204.69286, -0.00024233
204.70639, 0.00007822
204.71993, -0.00034695
204.73346, -0.00040620
204.74699, 0.00023088
204.76053, 0.00036070
204.77406, 0.00065439
204.78759, 0.00099664
204.80113, 0.00811143
204.81466, 0.04142367
204.82819, 0.18082562
204.84173, 0.51958483
204.85526, 1.08401526
204.86879, 1.53368423
204.88233, 1.99731571
204.89586, 2.54410000
204.90939, 3.59014684
204.92293, 4.75437025
204.93646, 5.28346439
204.94999, 5.31773813
204.96353, 5.31762634
204.97706, 5.31862156
204.99059, 5.31878373
205.00413, 5.31572517
205.01766, 5.31631639
205.03120, 5.31762500
205.04473, 5.31583033
205.05826, 5.31421605
205.07180, 5.31563204
205.08533, 5.31417025
205.09886, 5.31216677
205.11240, 5.31006660
205.12593, 5.28315680
205.13946, 5.19427242
205.15300, 5.01684784
205.16653, 4.63802015
205.18006, 4.11647643
205.19360, 3.70863746
205.20713, 3.22071451
205.22066, 2.64221021
205.23420, 1.76734667
205.24773, 0.53588746
205.26126, 0.04662008
205.27480, 0.00573311
205.28833, 0.00060665
205.30186, 0.00024858
205.31540, -0.00058470
205.32893, -0.00027594
205.34246, -0.00013563
205.35600, 0.00024562
205.36953, -0.00016749
205.38306, 0.00000240
205.39660, -0.00044003
205.41013, -0.00023508
205.42366, 0.00035047
205.43720, 0.00035009
205.45073, -0.00039707
205.46426, -0.00036724
205.47780, -0.00033611
205.49133, 0.00040968
205.50486, 0.00006394
205.51840, -0.00015894
205.53193, 0.00010429
205.54546, 0.00013041
205.55900, -0.00031461
205.57253, 0.00034942
205.58606, 0.00016851
205.59960, 0.00050547
205.61313, -0.00041714
205.62666, 0.00031870
205.64020, 0.00054787
205.65373, -0.00007017
205.66603, 0.00043987
