Timestamp, 2021-12-26 4:50:20 AM
Collector, High4
Mass ID, Pb208
Initial Mass, 204.0508
Peak Centre Mass,204.0520
Method, PeakScanning
PDT, 0.0010
Baseline, -0.000314
DetThreshold, 0.000118
DeltaMass, 0.612153
IntegPeriod, ms100

Mass, Intensity
203.43869, 0.00020250
203.45215, -0.00013827
203.46562, 0.00056321
203.47909, -0.00002862
203.49256, -0.00007089
203.50602, 0.00030561
203.51949, -0.00022212
203.53296, 0.00040115
203.54642, -0.00014734
203.55989, -0.00022444
203.57336, 0.00000508
203.58683, -0.00044314
203.60029, 0.00006621
203.61376, 0.00064941
203.62723, -0.00010592
203.64070, 0.00012678
203.65416, 0.00008785
203.66763, -0.00029550
203.68110, -0.00051673
203.69457, 0.00026912
203.70803, 0.00034410
203.72150, -0.00035536
203.73497, 0.00013191
203.74844, -0.00010523
203.76190, -0.00009210
203.77537, -0.00051250
203.78884, 0.00025446
203.80230, 0.00008098
203.81577, -0.00030528
203.82924, 0.00112697
203.84271, 0.00204333
203.85617, 0.00517465
203.86964, 0.00579262
203.88311, 0.00961889
203.89658, 0.01727567
203.91004, 0.02827797
203.92351, 0.03477728
203.93698, 0.03695841
203.95045, 0.03767545
203.96391, 0.03794654
203.97738, 0.03770154
203.99085, 0.03842360
204.00431, 0.03795173
204.01778, 0.03775539
204.03125, 0.03811463
204.04472, 0.03782185
204.05818, 0.03751200
204.07165, 0.03756927
204.08512, 0.03816360
204.09859, 0.03788848
204.11205, 0.03768342
204.12552, 0.03815033
204.13899, 0.03714478
204.15246, 0.03633559
204.16592, 0.03413929
204.17939, 0.03213331
204.19286, 0.03082625
204.20633, 0.02565312
204.21979, 0.01622111
204.23326, 0.00584902
204.24673, 0.00091147
204.26019, 0.00039127
204.27366, 0.00005440
204.28713, -0.00017433
204.30060, 0.00042733
204.31406, -0.00002816
204.32753, 0.00069818
204.34100, -0.00014562
204.35447, -0.00053874
204.36793, 0.00002097
204.38140, 0.00006995
204.39487, 0.00009759
204.40834, -0.00062874
204.42180, -0.00022188
204.43527, 0.00015751
204.44874, -0.00012613
204.46221, 0.00024010
204.47567, -0.00009720
204.48914, -0.00016555
204.50261, 0.00032697
204.51607, -0.00020726
204.52954, 0.00069076
204.54301, 0.00019879
204.55648, -0.00024874
204.56994, 0.00010220
204.58341, 0.00047542
204.59688, -0.00012792
204.61035, -0.00053903
204.62381, 0.00021702
204.63728, 0.00004657
204.65075, -0.00023974
204.66299, 0.00039614
